t,T
1051200,1.6917893
1054800,1.6036495
1058400,1.4860336
1062000,1.3327608
1065600,1.1694455
1069200,1.0603284
1072800,1.0969511
1076400,1.173262
1080000,1.2062632
1083600,1.2720021
1087200,1.2390544
1090800,1.0060743
1094400,0.7008939
1098000,0.4738062
1101600,0.2472069
1105200,0.0683387
1108800,-0.0235519
1112400,-0.010921
1116000,-0.0361349
1119600,0.0039066
1123200,0.0191888
1126800,0.0513741
1130400,0.1091021
1134000,0.2096611
1137600,0.3352507
1141200,0.3816515
1144800,0.4419781
1148400,0.4211691
1152000,0.365665
1155600,0.5701718
1159200,0.8160784
1162800,1.0609424
1166400,1.1910063
1170000,1.2505142
1173600,1.1852604
1177200,0.8021236
1180800,0.3670707
1184400,0.1747347
1188000,0.0419502
1191600,-0.0409114
1195200,-0.1415727
1198800,-0.2561635
1202400,-0.3712652
1206000,-0.4747291
1209600,-0.5185394
1213200,-0.5931048
1216800,-0.690777
1220400,-0.7871899
1224000,-0.9213485
1227600,-1.0703839
1231200,-1.1205733
1234800,-1.194091
1238400,-1.1646929
1242000,-0.8891936
1245600,-0.4910306
1249200,-0.0988022
1252800,0.2201605
1256400,0.2922612
1260000,0.199092
1263600,-0.1461147
1267200,-0.8850757
1270800,-1.3567345
1274400,-1.6409502
1278000,-1.8481143
1281600,-2.0969627
1285200,-2.3575132
1288800,-2.6944749
1292400,-2.9551631
1296000,-3.1446681
1299600,-3.4449082
1303200,-3.5863137
1306800,-3.689472
1310400,-3.8511254
1314000,-4.1060165
1317600,-4.305719
1321200,-4.5336663
1324800,-4.5312708
1328400,-3.8780052
1332000,-2.939234
1335600,-2.2935419
1339200,-1.8906443
1342800,-1.7110636
1346400,-1.7602354
1350000,-2.1842105
1353600,-2.9432584
1357200,-3.42348
1360800,-3.8340689
1364400,-4.1925814
1368000,-4.4023914
1371600,-4.5678921
1375200,-4.6752565
1378800,-4.8110448
1382400,-4.8473018
1386000,-4.9163848
1389600,-5.0070195
1393200,-5.1326614
1396800,-5.2232818
1400400,-5.2730175
1404000,-5.3981903
1407600,-5.5375789
1411200,-5.4336772
1414800,-4.7166676
1418400,-3.8319458
1422000,-3.0835694
1425600,-2.5676963
1429200,-2.2541752
1432800,-2.2557917
1436400,-2.5949036
1440000,-3.1594085
1443600,-3.5921718
1447200,-3.8796358
1450800,-4.1547694
1454400,-4.5273817
1458000,-4.7033275
1461600,-4.8904455
1465200,-4.9578994
1468800,-4.9881467
1472400,-5.0632941
1476000,-5.1203956
1479600,-5.1939388
1483200,-5.2041248
1486800,-5.1747917
1490400,-5.1954997
1494000,-5.2277107
1497600,-5.1256479
1501200,-4.6443896
1504800,-4.0160094
1508400,-3.5482595
1512000,-3.1396556
1515600,-2.8619249
1519200,-2.7638131
1522800,-2.9009711
1526400,-3.2878215
1530000,-3.655372
1533600,-4.0172519
1537200,-4.3379849
1540800,-4.6308148
1544400,-4.9471215
1548000,-5.2536834
1551600,-5.5186189
1555200,-5.734188
1558800,-5.9370615
1562400,-6.0602725
1566000,-6.2113638
1569600,-6.3775797
1573200,-6.4387182
1576800,-6.5163772
1580400,-6.6005809
1584000,-6.3588025
1587600,-5.4345426
1591200,-4.3209732
1594800,-3.2649995
1598400,-2.3087606
1602000,-1.5893219
1605600,-1.2279937
1609200,-1.4755246
1612800,-2.5503449
1616400,-3.3997784
1620000,-3.7711661
1623600,-4.0379431
1627200,-4.3693614
1630800,-4.5433542
1634400,-4.6793133
1638000,-4.8044457
1641600,-4.985274
1645200,-5.1318835
1648800,-5.2349824
1652400,-5.2781712
1656000,-5.3351049
1659600,-5.3226496
1663200,-5.3840254
1666800,-5.3125304
1670400,-4.984713
1674000,-3.6139572
1677600,-2.2332704
1681200,-0.9537904
1684800,-0.0406161
1688400,0.6168284
1692000,0.9079909
1695600,0.6087017
1699200,-0.3740689
1702800,-1.2394877
1706400,-1.8019724
1710000,-2.1228899
1713600,-2.3853055
1717200,-2.6951838
1720800,-3.0442527
1724400,-3.3103624
1728000,-3.5821429
1731600,-3.7401057
1735200,-3.8962578
1738800,-4.0536236
1742400,-4.2821284
1746000,-4.3814227
1749600,-4.4100606
1753200,-4.4888991
1756800,-4.1937289
1760400,-2.9416478
1764000,-1.5503223
1767600,-0.4125229
1771200,0.5193575
1774800,1.1060372
1778400,1.2008258
1782000,0.8436856
1785600,-0.2288694
1789200,-1.1457908
1792800,-1.6873062
1796400,-2.2154313
1800000,-2.7016094
1803600,-3.0841763
1807200,-3.5603658
1810800,-3.9013156
1814400,-4.3168568
1818000,-4.6664315
1821600,-4.9391105
1825200,-5.1641065
1828800,-5.4059343
1832400,-5.6238092
1836000,-5.9164226
1839600,-6.0865625
1843200,-5.9326458
1846800,-4.73665
1850400,-3.507179
1854000,-2.2431357
1857600,-1.3973367
1861200,-0.7201877
1864800,-0.4982627
1868400,-1.1828326
1872000,-2.2713468
1875600,-3.4090633
1879200,-4.1505415
1882800,-4.6924215
1886400,-5.1974095
1890000,-5.653929
1893600,-6.020636
1897200,-6.3607854
1900800,-6.5173566
1904400,-6.7341047
1908000,-6.8931988
1911600,-7.0740095
1915200,-7.2184005
1918800,-7.2661089
1922400,-7.2156065
1926000,-7.2259237
1929600,-6.8163907
1933200,-5.9689117
1936800,-4.996973
1940400,-4.1196585
1944000,-3.4841314
1947600,-3.1022671
1951200,-2.9234059
1954800,-3.0657951
1958400,-3.5507858
1962000,-3.9359991
1965600,-4.231854
1969200,-4.4506427
1972800,-4.4934077
1976400,-4.4773903
1980000,-4.4542836
1983600,-4.4640391
1987200,-4.3864707
1990800,-4.3629944
1994400,-4.250981
1998000,-4.1170223
2001600,-4.0608958
2005200,-4.005552
2008800,-3.9207189
2012400,-3.8460369
2016000,-3.6978233
2019600,-3.4873444
2023200,-3.2348037
2026800,-2.9536338
2030400,-2.6915976
2034000,-2.5400989
2037600,-2.4719199
2041200,-2.5129417
2044800,-2.6092096
2048400,-2.7644785
2052000,-2.8987778
2055600,-2.8950175
2059200,-2.9292253
2062800,-3.0327893
2066400,-3.1460625
2070000,-3.2480548
2073600,-3.4082415
2077200,-3.4780326
2080800,-3.5215096
2084400,-3.6726684
2088000,-3.758237
2091600,-3.8191073
2095200,-3.8609114
2098800,-3.878996
2102400,-3.7187552
2106000,-3.3677404
2109600,-2.9963011
2113200,-2.5702489
2116800,-2.2699119
2120400,-1.9873571
2124000,-1.8084436
2127600,-1.845305
2131200,-2.1082036
2134800,-2.2664295
2138400,-2.4714532
2142000,-2.5425972
2145600,-2.5495716
2149200,-2.5772773
2152800,-2.5124785
2156400,-2.5528057
2160000,-2.619769
2163600,-2.603214
2167200,-2.6383826
2170800,-2.7907489
2174400,-2.8580138
2178000,-2.9499162
2181600,-3.1011478
2185200,-3.2006727
2188800,-3.0847513
2192400,-2.3927148
2196000,-1.6027932
2199600,-0.8355863
2203200,-0.2366937
2206800,0.2268962
2210400,0.4186405
2214000,0.1386862
2217600,-0.7750217
2221200,-1.6714197
2224800,-2.1568106
2228400,-2.633545
2232000,-2.9577278
2235600,-3.3320653
2239200,-3.7384784
2242800,-4.1506259
2246400,-4.3983219
2250000,-4.5939907
2253600,-4.9166109
2257200,-5.0675528
2260800,-5.2758954
2264400,-5.3984713
2268000,-5.5338215
2271600,-5.6029205
2275200,-4.8217052
2278800,-3.1555638
2282400,-1.3926011
2286000,0.2500043
2289600,1.5024172
2293200,2.2949359
2296800,2.5941146
2300400,2.1251949
2304000,0.8102179
2307600,-0.3291529
2311200,-1.0304534
2314800,-1.6606667
2318400,-2.0613328
2322000,-2.4664171
2325600,-2.8229418
2329200,-3.3046378
2332800,-3.5723513
2336400,-3.9741337
2340000,-4.274927
2343600,-4.4505373
2347200,-4.5537718
2350800,-4.6897471
2354400,-4.7074537
2358000,-4.9766721
2361600,-4.5112909
2365200,-2.9814419
2368800,-1.3639986
2372400,0.2653716
2376000,1.389737
2379600,2.1593856
2383200,2.4117193
2386800,1.8768447
2390400,0.6603336
2394000,-0.3567161
2397600,-0.9072182
2401200,-1.2403841
2404800,-1.5604046
2408400,-1.7815575
2412000,-1.9010521
2415600,-1.955132
2419200,-1.905956
2422800,-1.9790588
2426400,-2.0004116
2430000,-2.0040382
2433600,-1.9524675
2437200,-1.8990719
2440800,-1.7820859
2444400,-1.7946601
2448000,-1.183997
2451600,0.0246115
2455200,1.2186136
2458800,2.4085967
2462400,3.2732482
2466000,3.8677471
2469600,4.0092366
2473200,3.657398
2476800,2.7824946
2480400,1.9240747
2484000,1.4813226
2487600,1.1622957
2491200,0.7669508
2494800,0.5232566
2498400,0.2214802
2502000,0.0032777
2505600,-0.2519186
2509200,-0.4675406
2512800,-0.4994093
2516400,-0.5673486
2520000,-0.5052625
2523600,-0.3498978
2527200,-0.1219493
2530800,0.043779
2534400,0.500852
2538000,1.1143744
2541600,1.7173685
2545200,2.2764073
2548800,2.6261631
2552400,2.7279176
2556000,2.7465838
2559600,2.706242
2563200,2.5614989
2566800,2.4197871
2570400,2.3232791
2574000,2.2548963
2577600,2.2380041
2581200,2.2460877
2584800,2.1157486
2588400,2.0355552
2592000,1.9485667
2595600,1.8737084
2599200,1.7967153
2602800,1.7208094
2606400,1.6288781
2610000,1.4856809
2613600,1.3716145
2617200,1.252215
2620800,1.2086388
2624400,1.248169
2628000,1.4491467
2631600,1.6231176
2635200,1.7239168
2638800,1.8239113
2642400,1.8180415
2646000,1.6840119
2649600,1.4570228
2653200,1.2189745
2656800,1.0619728
2660400,0.9327005
2664000,0.8066742
2667600,0.6196566
2671200,0.5756161
2674800,0.4487968
2678400,0.411942
2682000,0.3082233
2685600,0.2071692
2689200,0.1187683
