"Rest","Chance","mean_rest_time"
0.0,0.26019124308002013085,7.5
15.0,0.16708605938600905888,22.5
30.0,0.13764469048817312531,37.5
45.0,0.09637644690488173125,52.5
60.0,0.05133366884750880725,67.5
75.0,0.04529441368897835934,82.5
90.0,0.03019627579265223956,97.5
105.0,0.02893809763462506291,112.5
120.0,0.02239557121288374434,127.5
135.0,0.01484650226472068445,142.5
150.0,0.01056869652742828384,157.5
165.0,0.01107196779063915450,172.5
180.0,0.00956215400100654253,187.5
195.0,0.00830397584297936588,202.5
210.0,0.00855561147458480121,217.5
225.0,0.00402617010568696527,232.5
240.0,0.00578761952692501258,247.5
255.0,0.00402617010568696527,262.5
270.0,0.00427780573729240060,277.5
285.0,0.00452944136889783593,292.5
300.0,0.00327126321087065929,307.5
315.0,0.00402617010568696527,322.5
330.0,0.00150981378963261198,337.5
345.0,0.00150981378963261198,352.5
360.0,0.00100654252642174132,367.5
375.0,0.00226472068444891797,382.5
390.0,0.00150981378963261198,397.5
405.0,0.00251635631605435330,412.5
420.0,0.00025163563160543533,427.5
435.0,0.00100654252642174132,442.5
450.0,0.00050327126321087066,457.5
465.0,0.00050327126321087066,472.5
480.0,0.00075490689481630599,487.5
495.0,0.00100654252642174132,502.5
510.0,0.00150981378963261198,517.5
525.0,0.00427780573729240060,532.5
540.0,0.00830397584297936588,547.5
555.0,0.00327126321087065929,562.5
570.0,0.00226472068444891797,577.5
585.0,0.00201308505284348264,592.5
600.0,0.00301962757926522396,607.5
615.0,0.00327126321087065929,622.5
630.0,0.00125817815802717665,637.5
645.0,0.00150981378963261198,652.5
660.0,0.00427780573729240060,667.5
675.0,0.00176144942123804731,682.5
690.0,0.00125817815802717665,697.5
705.0,0.00125817815802717665,712.5
720.0,0.00100654252642174132,727.5
735.0,0.00050327126321087066,742.5
750.0,0.00150981378963261198,757.5
765.0,0.00100654252642174132,772.5
780.0,0.00150981378963261198,787.5
795.0,0.00100654252642174132,802.5
810.0,0.00075490689481630599,817.5
825.0,0.00075490689481630599,832.5
840.0,0.00075490689481630599,847.5
855.0,0.00100654252642174132,862.5
870.0,0.00025163563160543533,877.5
885.0,0.00025163563160543533,892.5
900.0,0.00025163563160543533,907.5
915.0,0.00050327126321087066,922.5
945.0,0.00025163563160543533,952.5
960.0,0.00025163563160543533,967.5
975.0,0.00025163563160543533,982.5
1005.0,0.00050327126321087066,1012.5
1020.0,0.00025163563160543533,1027.5
1050.0,0.00025163563160543533,1057.5
1095.0,0.00025163563160543533,1102.5
1110.0,0.00025163563160543533,1117.5
1125.0,0.00025163563160543533,1132.5
1155.0,0.00025163563160543533,1162.5
1200.0,0.00025163563160543533,1207.5
