"Number","Chance_week","Chance_weekend"
0,0.1706191125064969,0.6017673943298288
1,0.0495342337094129,0.14348086527822343
2,0.11494482437697096,0.1112708751137243
3,0.1987719891159774,0.07906088494922515
4,0.18734101210611287,0.026353628316408386
5,0.14288721262330645,0.029281809240453763
6,0.0793817847907258,0.005856361848090752
7,0.03873831097787419,0.0
8,0.009525814174887097,0.0
9,0.005715488504932257,0.002928180924045376
10,0.0019051628349774194,0.0
11,0.0006350542783258,0.0
