"Departure","Chance"
0.0,0.05409153952843273232
1.0,0.04993065187239944521
2.0,0.05270457697642163662
3.0,0.05062413314840499307
4.0,0.06171983356449375867
5.0,0.07558945908460471567
6.0,0.10471567267683772538
7.0,0.10471567267683772538
8.0,0.07975034674063800277
9.0,0.05339805825242718447
10.0,0.04160887656033287101
11.0,0.04785020804438280166
12.0,0.04230235783633841886
13.0,0.05755894590846047157
14.0,0.02288488210818307906
15.0,0.01317614424410540915
16.0,0.01733703190013869626
17.0,0.01941747572815533981
18.0,0.01109570041608876560
19.0,0.00624133148404993065
20.0,0.00485436893203883495
21.0,0.00970873786407766990
22.0,0.01040221914008321775
23.0,0.00832177531206657420
