"distance_km","duration_min","mean_distance","mean_duration","Chance"
350,150,362.5000000000000000,165.0000000000000000,0
375,150,387.5000000000000000,165.0000000000000000,0
0,180,12.5000000000000000,195.0000000000000000,0.00111049416990560800
25,180,37.5000000000000000,195.0000000000000000,0.00074032944660373866
50,180,62.5000000000000000,195.0000000000000000,0.00018508236165093467
75,180,87.5000000000000000,195.0000000000000000,0.00055524708495280400
100,180,112.5000000000000000,195.0000000000000000,0.00018508236165093467
125,180,137.5000000000000000,195.0000000000000000,0.00074032944660373866
150,180,162.5000000000000000,195.0000000000000000,0.00277623542476401999
175,180,187.5000000000000000,195.0000000000000000,0.00832870627429205997
200,180,212.5000000000000000,195.0000000000000000,0.01036461225245234129
225,180,237.5000000000000000,195.0000000000000000,0.02942809550249861188
250,180,262.5000000000000000,195.0000000000000000,0.01203035350731075329
275,180,287.5000000000000000,195.0000000000000000,0.00185082361650934666
300,180,312.5000000000000000,195.0000000000000000,0
325,180,337.5000000000000000,195.0000000000000000,0.00018508236165093467
350,180,362.5000000000000000,195.0000000000000000,0
375,180,387.5000000000000000,195.0000000000000000,0
0,210,12.5000000000000000,225.0000000000000000,0.00074032944660373866
25,210,37.5000000000000000,225.0000000000000000,0
50,210,62.5000000000000000,225.0000000000000000,0.00018508236165093467
75,210,87.5000000000000000,225.0000000000000000,0
100,210,112.5000000000000000,225.0000000000000000,0.00055524708495280400
125,210,137.5000000000000000,225.0000000000000000,0
150,210,162.5000000000000000,225.0000000000000000,0.00111049416990560800
175,210,187.5000000000000000,225.0000000000000000,0.00129557653155654266
200,210,212.5000000000000000,225.0000000000000000,0.00370164723301869332
225,210,237.5000000000000000,225.0000000000000000,0.01573200074032944660
250,210,262.5000000000000000,225.0000000000000000,0.01573200074032944660
275,210,287.5000000000000000,225.0000000000000000,0.02813251897094206922
300,210,312.5000000000000000,225.0000000000000000,0.01110494169905607996
325,210,337.5000000000000000,225.0000000000000000,0.00055524708495280400
350,210,362.5000000000000000,225.0000000000000000,0
375,210,387.5000000000000000,225.0000000000000000,0
0,240,12.5000000000000000,255.0000000000000000,0.00166574125485841199
25,240,37.5000000000000000,255.0000000000000000,0.00074032944660373866
50,240,62.5000000000000000,255.0000000000000000,0.00018508236165093467
75,240,87.5000000000000000,255.0000000000000000,0
100,240,112.5000000000000000,255.0000000000000000,0
125,240,137.5000000000000000,255.0000000000000000,0
150,240,162.5000000000000000,255.0000000000000000,0
175,240,187.5000000000000000,255.0000000000000000,0.00037016472330186933
200,240,212.5000000000000000,255.0000000000000000,0.00129557653155654266
225,240,237.5000000000000000,255.0000000000000000,0.00351656487136775865
